volume_total;somme_largeur;somme_hauteur;somme_profondeur;max_largeur;max_hauteur;max_profondeur;boite_largeur;boite_hauteur;boite_profondeur
2050;40;45;30;14;15;10;15.4;16.5;11
1850;35;40;30;12;13;10;13.2;14.3;11
2150;40;45;30;14;15;10;15.4;16.5;11
1950;35;40;30;12;13;10;13.2;14.3;11
2250;40;45;30;14;15;10;15.4;16.5;11
2000;35;40;30;12;13;10;13.2;14.3;11
2350;40;45;30;14;15;10;15.4;16.5;11
2050;35;40;30;12;13;10;13.2;14.3;11
2400;40;45;30;14;15;10;15.4;16.5;11
1500;30;35;30;10;12;10;11.5;13.8;11.5
2300;35;45;35;12;15;12;13.8;17.25;13.8
1800;35;40;30;12;13;10;13.8;14.95;11.5
2100;40;45;30;14;15;10;16.1;17.25;11.5
1600;30;35;30;10;12;10;11.5;13.8;11.5
2200;35;45;35;12;15;12;13.8;17.25;13.8
1900;35;40;30;12;13;10;13.8;14.95;11.5
2000;40;45;30;14;15;10;16.1;17.25;11.5
1750;35;40;30;12;13;10;13.8;14.95;11.5
2050;40;45;30;14;15;10;16.1;17.25;11.5
1850;35;40;30;12;13;10;13.8;14.95;11.5
2150;40;45;30;14;15;10;16.1;17.25;11.5
1950;35;40;30;12;13;10;13.8;14.95;11.5
2250;40;45;30;14;15;10;16.1;17.25;11.5
2000;35;40;30;12;13;10;13.8;14.95;11.5
2350;40;45;30;14;15;10;16.1;17.25;11.5
2050;35;40;30;12;13;10;13.8;14.95;11.5
1500;30;35;30;10;12;10;12;14.4;12
2300;35;45;35;12;15;12;14.4;18;14.4
1800;35;40;30;12;13;10;14.4;15.6;12
2100;40;45;30;14;15;10;16.8;18;12
1600;30;35;30;10;12;10;12;14.4;12
2200;35;45;35;12;15;12;14.4;18;14.4
1900;35;40;30;12;13;10;14.4;15.6;12
2000;40;45;30;14;15;10;16.8;18;12
1750;35;40;30;12;13;10;14.4;15.6;12
2050;40;45;30;14;15;10;16.8;18;12
1850;35;40;30;12;13;10;14.4;15.6;12
2150;40;45;30;14;15;10;16.8;18;12
1950;35;40;30;12;13;10;14.4;15.6;12
2250;40;45;30;14;15;10;16.8;18;12
2000;35;40;30;12;13;10;14.4;15.6;12
2350;40;45;30;14;15;10;16.8;18;12
2050;35;40;30;12;13;10;14.4;15.6;12
2400;40;45;30;14;15;10;16.8;18;12
1500;25;30;25;9;11;9;10.8;13.2;10.8
2300;30;40;30;11;14;11;13.2;16.8;13.2
1800;30;35;25;11;13;9;13.2;15.6;10.8
2100;35;40;25;13;14;9;15.6;16.8;10.8
1600;25;30;25;9;11;9;10.8;13.2;10.8
2200;30;40;30;11;14;11;13.2;16.8;13.2
1900;30;35;25;11;13;9;13.2;15.6;10.8
2000;35;40;25;13;14;9;15.6;16.8;10.8
1750;30;35;25;11;13;9;13.2;15.6;10.8
2050;35;40;25;13;14;9;15.6;16.8;10.8
1850;30;35;25;11;13;9;13.2;15.6;10.8
2150;35;40;25;13;14;9;15.6;16.8;10.8
1950;30;35;25;11;13;9;13.2;15.6;10.8
2250;35;40;25;13;14;9;15.6;16.8;10.8
2000;30;35;25;11;13;9;13.2;15.6;10.8
20000;60;80;30;20;25;10;26;32.5;13
25000;70;90;35;23.3;30;11.6;30.125;39;14.45
30000;80;100;40;26.6;33.3;13.3;34.6;43.3;16.6
35000;90;110;45;30;36.6;15;39;48;18.75
40000;100;120;50;33.3;40;16.6;43.3;52;21.65
45000;110;130;55;36.6;43.3;18.3;47.7;56.65;23.9
50000;120;140;60;40;46.6;20;52;60.9;26
55000;130;150;65;43.3;50;21.6;56.3;65;28.1
60000;140;160;70;46.6;53.3;23.3;60.6;69;30.3
65000;150;170;75;50;56.6;25;65;74;31.25
70000;160;180;80;53.3;60;26.6;69.3;78;34.15
75000;170;190;85;56.6;63.3;28.3;73.6;82;36.05
80000;180;200;90;60;66.6;30;78;86;37.5
85000;190;210;95;63.3;70;31.6;82.3;91.5;39.6
90000;200;220;100;66.6;73.3;33.3;86.6;96;43.3
95000;210;230;105;70;76.6;35;91.5;100;45.5
100000;220;240;110;73.3;80;36.6;96;104;47.85
105000;230;250;115;76.6;83.3;38.3;100;109;49.45
110000;240;260;120;80;86.6;40;104;112;52
115000;250;270;125;83.3;90;41.6;108;117;54.05
120000;260;280;130;86.6;93.3;43.3;112;121;56.3
125000;270;290;135;90;96.6;45;117;126;58.65
130000;280;300;140;93.3;100;46.6;121;130;60.5
135000;290;310;145;96.6;103.3;48.3;125;134;62.9
140000;300;320;150;100;106.6;50;130;139;65
145000;310;330;155;103.3;110;51.6;134;143;67.05
150000;320;340;160;106.6;113.3;53.3;138;147;69.25
155000;330;350;165;110;116.6;55;143;152;71.5
160000;340;360;170;113.3;120;56.6;147;156;73.6
165000;350;370;175;116.6;123.3;58.3;151;160;76
170000;360;380;180;120;126.6;60;156;165;78
175000;370;390;185;123.3;130;61.6;160;169;80.05
180000;380;400;190;126.6;133.3;63.3;164;173;82.25
185000;390;410;195;130;136.6;65;169;178;84.5
190000;400;420;200;133.3;140;66.6;173;182;86.6
195000;410;430;205;136.6;143.3;68.3;177;186;89
200000;420;440;210;140;146.6;70;182;191;91.3
205000;430;450;215;143.3;150;71.6;186;195;93.05
210000;440;460;220;146.6;153.3;73.3;190;199;95.3
215000;450;470;225;150;156.6;75;195;204;97.5
220000;460;480;230;153.3;160;76.6;199;208;99.6
225000;470;490;235;156.6;163.3;78.3;203;213;102
230000;480;500;240;160;166.6;80;208;217;104
235000;490;510;245;163.3;170;81.6;212;221;106.05
240000;500;520;250;166.6;173.3;83.3;216;225;108.3
650;20;25;20;6.5;7.5;5;7.8;9;6
1800;45;60;30;8;10;7;10.56;14;9.24
4320;60;72;40;10;12;8;13.2;15.6;11.04
2450;50;60;35;9.5;11;6.5;12.48;14.52;9.36
3078;58;68;42;10.2;12.2;7.2;13.44;16.08;9.84
4000;65;75;45;11;12.5;7.5;14.52;16.5;10.5
5250;70;80;50;12;13.5;8.5;15.84;17.82;11.22
6120;75;85;55;13;14.5;9.5;17.16;19.14;12.48
7000;80;90;60;14;15.5;10.5;18.48;20.46;13.74
8000;85;95;65;15;16.5;11.5;19.8;21.78;15.12
1350;27;36;30;9;12;10;11.88;15.84;13.2
2376;36;48;44;12;16;14.67;15.84;21.12;19.56
3430;49;64;60;16.33;21.33;20;21.6;28.16;26.4
2592;43;58;48;14.33;19.33;16;18.96;25.56;21.12
3240;54;72;60;18;24;20;23.76;31.68;26.4
4100;61;82;70;20.33;27.33;23.33;26.88;36.24;30.88
3432;57;76;66;19;25.33;22;25.08;33.44;29.04
4860;68;91;78;22.67;30.33;26;29.88;39.84;34.32
3927;63;84;72;21;28;24;27.72;36.96;31.68
5313;73;98;84;24.33;32.67;28;32.16;43.2;36.96
700;25;32;22;8.33;10.67;7.33;10;12.8;8.8
1000;30;40;28;10;13.33;9.33;12;16;10.6
4800;40;75;36;13.33;25;12;16;30;14.4
5400;45;82;38;15;27.33;12.67;18;32.8;15.2
1400;22;45;18;7.33;15;6;8.8;18;7.2
2200;18;30;14;6;10;4.67;7.2;12;5.6
6000;40;52;18;13.33;17.33;6;16;20.8;7.2
450;8;12;8;2.67;4;2.67;3.2;4.8;3.2
900;10;20;10;3.33;6.67;3.33;4;8;4
850;30;33;28;10;11;9.33;12;13.2;11.2
1300;35;38;33;11.67;12.67;11;14;15.2;13.2
750;27;30;25;9;10;8.33;10.8;12;10
1500;37;42;37;12.33;14;12.33;14.8;16.8;14.8
2000;42;50;42;14;16.67;14;16.8;20;16.8
2750;48;58;53;16;19.33;17.67;19.2;23.2;20.4
650;20;25;20;6.67;8.33;6.67;7.67;9.58;7.67
950;30;35;25;10;11.67;8.33;11.5;13.42;9.58
3600;40;50;45;13.33;16.67;15;15.33;19.17;17.25
4500;50;55;45;16.67;18.33;15;19.17;21;17.25
1250;15;30;15;5;10;5;5.75;11.5;5.75
1850;12.5;15;10;4.17;5;3.33;4.79;5.75;3.83
4000;35;40;15;11.67;13.33;5;13.42;15.33;5.75
350;5;7;5;1.67;2.33;1.67;1.92;2.67;1.92
750;7.5;10;7.5;2.5;3.33;2.5;2.88;3.83;2.88
750;25;25;20;8.33;8.33;6.67;9.58;9.58;7.67
1100;30;30;25;10;10;8.33;11.5;11.5;9.58
700;25;25;20;8.33;8.33;6.67;9.58;9.58;7.67
1350;30;35;25;10;11.67;8.33;11.5;13.42;9.58
1600;35;40;25;11.67;13.33;8.33;13.42;15.33;9.58
